JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2455980.3650	15.406	0.020		V	GCO		ENSEMBLE	000-BBQ-007	1502KG	EXP.TIME 639SEC. LX200GPS 10' SBIG ST-7 DUAL CCD CAMERA'	0	1.17	Z		13.941		OJ 287	AAVSO	STD				
2455984.57	15.1	0.2		V	HUR		150		JT060319	" 	BRT "	0		Z	15.0			OJ 287	BAA-VSS	STD				
2455984.595	15.08			V	PYG		S		251.02	BRT	0		Z	14.6			OJ 287		STD				
2455985.36597	15.0			Vis.	STI		146	153	"6025en,ee"	"CCD imgs.,Slooh,Tenerife"			Z				OJ 287	AAVSO	STD				
2455987.414	15.0			Vis.	PYG	B	S-4		251.02				Z				OJ 287		STD				
2455987.437	14.66			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2455988.4287	14.907	0.020		V	GCO		ENSEMBLE	000-BBQ-007	1502KG	EXP.TIME 900SEC. LX200GPS 10' SBIG ST-7 DUAL CCD CAMERA'	0	1.12	Z		13.935		OJ 287	AAVSO	STD				
2455989.431	14.62			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2455990.415	14.8			Vis.	PYG	B	S-2		251.02				Z				OJ 287		STD				
2455991.36201	14.783	0.081		V	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.315	Z		15.065		OJ 287		STD				
2455991.36343	14.277	0.080		R	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.316	Z		14.650		OJ 287		STD				
2455991.36485	14.861	0.139		B	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.316	Z		15.292		OJ 287		STD				
2455991.36628	13.802	0.163		I	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.317	Z		14.400		OJ 287		STD				
2455993.38492	14.846	0.064		V	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.340	Z		14.915		OJ 287		STD				
2455993.38634	14.413	0.051		R	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.342	Z		14.660		OJ 287		STD				
2455993.38776	15.249	0.108		B	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.344	Z		15.649		OJ 287		STD				
2455993.38919	13.965	0.099		I	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.346	Z		14.382		OJ 287		STD				
2455995.406	14.63			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2455996.3949	14.808	0.009		V	GCO		ENSEMBLE	000-BBQ-007	1502KG	EXP.TIME 900SEC. LX200GPS 10' SBIG ST-7 DUAL CCD CAMERA'	0	1.11	Z		13.957		OJ 287	AAVSO	STD				
2455998.5	14.8			Vis.	MOW		NA		NA				Z				OJ 287	AAVSO	STD				
2455999.34325	14.694	0.059		V	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.317	Z		15.004		OJ 287		STD				
2455999.34444	14.187	0.068		R	SJAR		ENSEMBLE	000-BBQ-029	4171CEV		0	1.317	Z		14.401		OJ 287		STD				
2455999.419	14.61			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2456000.408	14.66			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2456001.3791	14.638	0.009		V	GCO		ENSEMBLE	000-BBQ-007	1502KG	EXP.TIME 900SEC. LX200GPS 10' SBIG ST-7 DUAL CCD CAMERA'	0	1.11	Z		13.933		OJ 287	AAVSO	STD				
2456001.409	14.50			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2456005.35666	14.708	0.019		V	PXR		ENSEMBLE	T	BAA VSS 251.02		0		Z		14.981		OJ 287	BAA-VSS	STD				
2456005.35738	14.727	0.017		V	PXR		ENSEMBLE	T	BAA VSS 251.02		0		Z		14.978		OJ 287	BAA-VSS	STD				
