Obs	Band	Date	Frequency	Theta_rad	Theta_rad_err	Theta_mas	Theta_mas_err	Y0	Y0_err	A0	A0_err
RAES03AA	C	2012-04-27	4828	5.62382E-10	6.04387E-12	0.116	0.001	0	0	1.8247	0.01301
RAES03AB	C	2012-04-28	4828	8.22309E-10	3.7836E-11	0.170	0.008	0	0	1.41168	0.01634
RAES03FW	C	2012-11-19	4828	3.10599E-09	9.65135E-10	0.641	0.199	0.04239	0.00535	2.34019	0.29095
RAES03FW	L	2012-11-19	1668	2.3604E-09	3.56568E-11	0.487	0.007	0	0	1.6501	0.00562
RAES03P	C	2012-04-04	4828	1.19785E-09	8.62921E-11	0.247	0.018	0	0	3.60793	0.05398
RAES03Q	C	2012-04-05	4828	1.56272E-08	3.43101E-09	3.224	0.708	0.49377	0.01378	4.43376	0.4065
RAES03RD	C	2013-04-14	4828	7.26224E-10	3.72413E-11	0.150	0.008	0	0	1.85275	0.02464
RAES03RL	C	2013-04-21	4828	9.66955E-10	1.33641E-11	0.199	0.003	0	0	2.59963	0.01554
RAES03RL	K	2013-04-21	22236	1.83899E-10	1.32004E-12	0.038	0.000	0	0	1.63149	0.01014
RAES03RO	C	2013-04-22	4828	7.89215E-10	6.40822E-11	0.163	0.013	0	0	1.23212	0.03389
RAES03RW	C	2013-04-26	4828	1.41295E-08	1.01726E-09	2.915	0.210	0.0778	0.04877	3.0888	0.10607
RAKS01IQ	C	2013-11-09	4828	8.61292E-09	1.02324E-09	1.777	0.211	0.13329	0.00619	4.16006	1.1112
RAKS01IQ	L	2013-11-09	1668	2.06536E-09	7.40246E-10	0.426	0.153	0.05294	0.03964	1.50253	0.0346
RAKS01VM	K	2014-03-13	22236	2.65139E-08	8.64931E-11	5.470	0.018	0.03802	0.00347	4.4	0
RAKS01VT	K	2014-03-16	22236	8.95981E-10	3.2942E-11	0.185	0.007	0.05797	0.00439	1	0
RAKS01XF	C	2014-03-27	4828	1.21288E-09	7.47005E-12	0.250	0.002	0	0	1.83305	0.01003
RAKS01XF	K	2014-03-27	22236	2.15755E-10	6.1343E-12	0.045	0.001	0	0	1.91572	0.0587
RAKS01XX	C	2014-04-03	4828	5.90032E-10	4.85193E-11	0.122	0.010	0	0	1.27523	0.05786
RAKS01ZM	C	2014-04-18	4828	3.69651E-10	6.03924E-11	0.076	0.012	0	0	0.96919	0.06971
RAKS01ZM	K	2014-04-18	22236	7.31067E-11	2.62181E-12	0.015	0.001	0	0	0.89711	0.01888
RAKS08JE	C	2014-12-09	4828	3.52111E-09	1.51234E-10	0.727	0.031	0.17584	0.01156	1.74933	0.02522
RAKS08JM	C	2014-12-12	4828	1.69655E-08	1.15609E-09	3.500	0.239	0	0	1.76527	0.05572
RAKS08JM	L	2014-12-12	1668	1.10017E-08	2.68306E-10	2.270	0.055	0	0	1.77563	0.02369
RAKS08JQ	C	2014-12-14	4828	5.18543E-10	5.13917E-11	0.107	0.011	0	0	1.45163	0.04027
RAKS08JQ	K	2014-12-14	22236	1.13673E-10	4.43679E-12	0.023	0.001	0	0	2.90142	0.03156
RAKS08JV	C	2014-12-15	4828	2.94307E-09	1.04128E-10	0.607	0.021	0.09049	0.01171	2.20529	0.02204
