MJD	FLUX_100_300000	ERROR_100_300000
54688.500743	9.577098e-08	2.965300e-09
54689.500743	1.209674e-07	1.607956e-09
54690.500743	1.684671e-07	1.643102e-09
54691.500743	3.231207e-07	7.945157e-08
54692.500743	2.073799e-07	1.584371e-07
54693.500743	1.092771e-07	3.883946e-09
54694.500743	3.541930e-07	1.236677e-07
54695.500743	3.186724e-07	7.884829e-08
54696.500743	2.313250e-07	7.477667e-08
54697.500743	2.891544e-07	7.305827e-08
54698.500743	6.182925e-07	9.445322e-08
54699.500743	9.362164e-08	1.721419e-09
54700.500743	1.957977e-07	6.886717e-08
54701.500743	2.194363e-07	0.000000e+00
54702.500743	3.803436e-07	7.737718e-08
54703.500743	2.030511e-07	7.257263e-08
54704.500743	5.885583e-07	1.984059e-07
54705.500743	2.261386e-07	9.958948e-08
54706.500743	6.737713e-07	1.265885e-07
54707.500743	1.495598e-07	1.484119e-11
54708.500743	2.942361e-07	1.084336e-07
54709.500743	2.989727e-07	1.055987e-07
54710.500743	3.653818e-07	1.160550e-07
54711.500743	2.340415e-07	8.710750e-08
54712.500743	4.606540e-07	1.621178e-07
54713.500743	1.980946e-07	5.978441e-08
54714.500743	3.430715e-07	1.288809e-07
54715.500743	3.371188e-07	1.507447e-07
54716.500743	1.881879e-07	7.634099e-08
54717.500743	5.248988e-07	1.844968e-07
54718.500743	3.957639e-07	1.155845e-07
54719.500743	1.548345e-07	3.257887e-08
54720.500743	4.114694e-07	1.136805e-07
54721.500743	1.073646e-07	1.880039e-08
54722.500743	1.817039e-07	1.153529e-07
54723.500743	4.802767e-07	1.106618e-07
54724.500743	1.343436e-07	1.675151e-07
54725.500743	5.419789e-07	1.681292e-07
54726.500743	1.201679e-07	3.335660e-10
54727.500743	2.844519e-07	1.184220e-07
54728.500743	3.309804e-07	1.081683e-07
54729.500743	5.344174e-07	1.692263e-07
54730.500743	2.701785e-07	9.335625e-08
54731.500743	2.180406e-07	7.538105e-08
54732.500743	4.658015e-07	8.427162e-08
54733.500743	3.115567e-07	6.269634e-07
54734.500743	8.601850e-07	2.277385e-07
54735.500743	2.353137e-07	7.387630e-08
54736.500743	5.362797e-07	1.845335e-07
54737.500743	4.514188e-07	7.241147e-08
54738.500743	3.111286e-07	6.680290e-08
54739.500743	3.725035e-07	1.197070e-07
54740.500743	4.320935e-07	9.424896e-08
54741.500743	3.180699e-07	9.263974e-08
54742.500743	4.559967e-07	1.333197e-07
54743.500743	4.236643e-07	1.115338e-07
54744.500743	3.177554e-07	1.314432e-07
54745.500743	2.962905e-07	9.748872e-08
54746.500743	1.934209e-07	3.023059e-08
54747.500743	3.815618e-07	1.202423e-07
54748.500743	2.341462e-07	8.404341e-08
54749.500743	5.281187e-07	7.049979e-08
54750.500743	2.207679e-07	7.294956e-08
54751.500743	1.092772e-07	4.824671e-10
54752.500743	3.078310e-07	1.102094e-07
54753.500743	8.356027e-07	2.579636e-07
54754.500743	2.868521e-07	1.137224e-07
54755.500743	4.507846e-07	1.283087e-07
54756.500743	2.571234e-07	0.000000e+00
54757.500743	4.229360e-07	1.487888e-07
54758.500743	2.435477e-07	8.904428e-08
54759.500743	1.411486e-07	6.763006e-10
54760.500743	3.692889e-07	1.304980e-07
54761.500743	1.168710e-06	3.036531e-07
54762.500743	1.787028e-07	1.242174e-08
54763.500743	1.848273e-07	9.907881e-08
54764.500743	1.514071e-07	1.267141e-09
54765.500743	1.104635e-07	1.218079e-09
54766.500743	3.485376e-07	1.141025e-07
54767.500743	1.741465e-07	1.516089e-08
54768.500743	3.463406e-07	1.404311e-07
54769.500743	6.527086e-07	1.948597e-07
54770.500743	2.881106e-07	1.136052e-07
54771.500743	2.806755e-07	8.442522e-08
54772.500743	3.683116e-07	1.378004e-07
54773.500743	1.725947e-07	6.455886e-08
54774.500743	3.585869e-07	1.302794e-07
54775.500743	8.030329e-07	2.364563e-07
54776.500743	1.450110e-07	3.162673e-08
54777.500743	2.608126e-07	1.004786e-07
54778.500743	1.713685e-07	3.048903e-08
54779.500743	1.037385e-07	0.000000e+00
54780.500743	2.704048e-07	5.427796e-08
54781.500743	1.524428e-07	5.263104e-08
54782.500743	3.768863e-07	5.237245e-08
54783.500743	5.655777e-08	3.531585e-09
54784.500743	1.995494e-07	6.415856e-08
54785.500743	2.034361e-07	1.036775e-07
54786.500743	1.574080e-07	6.597006e-08
54787.500743	2.774335e-07	9.030154e-08
54788.500743	1.608705e-07	6.220841e-08
54789.500743	1.608836e-07	6.339614e-08
54790.500743	3.835249e-07	1.416120e-07
54791.500743	5.521273e-07	1.730895e-07
54792.500743	1.563306e-07	9.525568e-10
54793.500743	3.190260e-07	1.068055e-07
54794.500743	2.882231e-07	0.000000e+00
54795.500743	5.105227e-07	3.877672e-08
54796.500743	1.680034e-07	6.813346e-08
54797.500743	1.606172e-07	1.342328e-07
54798.500743	4.351652e-07	1.653412e-07
54799.500743	2.173476e-07	4.006553e-08
54800.500743	2.095426e-07	9.985761e-08
54801.500743	8.424121e-07	2.226420e-07
54802.500743	2.184939e-07	9.180099e-08
54803.500743	2.685694e-07	9.112013e-08
54804.500743	2.547922e-07	7.414517e-08
54805.500743	1.663604e-07	4.359325e-08
54806.500743	5.470540e-07	1.766777e-07
54807.500743	6.035559e-07	1.838728e-07
54808.500743	1.698385e-07	6.325505e-11
54809.500743	3.257615e-07	1.117183e-07
54810.500743	3.797459e-07	1.210707e-07
54811.500743	4.821933e-07	4.232917e-07
54812.500743	2.317511e-07	4.687868e-09
54813.500743	2.630800e-07	6.916222e-08
54814.500743	3.806442e-07	1.089907e-07
54815.500743	8.501434e-07	1.903018e-07
54816.500743	1.377745e-07	1.084307e-09
54817.500743	4.593573e-07	1.886753e-07
54818.500743	2.330065e-07	1.014925e-07
54819.500743	1.510379e-07	2.413946e-08
54820.500743	1.463133e-07	9.219240e-09
54821.500743	7.663990e-08	1.797466e-10
54822.500743	5.898244e-07	1.869792e-07
54823.500743	5.227676e-07	1.819782e-07
54824.500743	5.553249e-07	1.387481e-07
54825.500743	2.437570e-07	4.448457e-08
54826.500743	1.903165e-07	8.970839e-08
54827.500743	2.244314e-07	9.528869e-08
54828.500743	1.072984e-07	3.037869e-09
54829.500743	2.380414e-07	9.710424e-08
54830.500743	1.068442e-07	3.284722e-08
54831.500743	6.471702e-07	2.233307e-07
54832.500743	4.683403e-07	1.685431e-07
54833.500743	2.872686e-07	9.850344e-08
54834.500743	9.373888e-08	2.370330e-08
54835.500743	1.953370e-07	6.463782e-08
54836.500743	4.158215e-07	1.377961e-07
54837.500743	1.063544e-07	1.829075e-08
54838.500743	1.731830e-07	3.052047e-08
54839.500743	1.391255e-07	4.787593e-09
54840.500743	5.109774e-07	1.685492e-07
54841.500743	1.737699e-07	3.651462e-08
54842.500743	1.066210e-07	3.779281e-08
54843.500743	8.608751e-07	2.773511e-07
54844.500743	9.883294e-08	8.555903e-09
54845.500743	1.834147e-07	7.093872e-08
54846.500743	7.721176e-08	1.318441e-09
54847.500743	1.108661e-07	1.774916e-08
54848.500743	1.790465e-07	4.752074e-09
54849.500743	1.379308e-07	1.217956e-09
54850.500743	1.990093e-07	8.320888e-08
54851.500743	5.331708e-07	2.044371e-07
54852.500743	2.623373e-07	9.562950e-08
54853.500743	2.328533e-07	3.363049e-08
54854.500743	3.112373e-07	1.039151e-07
54855.500743	1.419654e-07	3.062005e-10
54856.500743	1.506709e-07	2.103113e-10
54857.500743	1.757068e-07	4.599506e-11
54858.500743	2.999272e-07	1.310024e-07
54859.500743	1.126912e-07	1.215599e-09
54860.500743	3.513690e-07	1.338318e-07
54861.500743	2.284147e-07	1.669439e-07
54862.500743	2.827962e-07	1.065744e-07
54863.500743	3.764586e-07	1.169955e-07
54864.500743	2.325519e-07	7.582529e-08
54865.500743	4.321604e-07	1.955343e-07
54866.500743	2.577744e-07	8.241169e-08
54867.500743	1.058836e-07	3.664599e-09
54868.500743	2.250537e-07	4.783180e-07
54869.500743	1.009557e-07	8.138750e-09
54870.500743	8.920425e-07	1.109393e-07
54871.500743	1.867720e-07	1.445695e-08
54872.500743	7.303585e-07	2.335299e-07
54873.500743	3.000866e-07	1.170333e-07
54874.500743	5.002888e-07	1.598924e-07
54875.500743	4.776529e-07	1.280717e-07
54876.500743	3.548573e-07	1.072149e-07
54877.500743	3.051462e-07	1.175550e-07
54878.500743	2.381236e-07	1.033545e-07
54879.500743	3.533335e-07	1.329319e-07
54880.500743	2.990218e-07	4.345794e-07
54881.500743	3.678202e-07	5.242859e-08
54882.500743	3.511186e-07	1.233081e-07
54883.500743	4.753871e-07	1.342039e-07
54884.500743	6.699668e-08	7.066270e-09
54885.500743	1.725290e-07	3.521539e-08
54886.500743	1.459258e-07	2.179248e-08
54887.500743	2.543065e-07	1.070045e-07
54888.500743	4.432663e-07	1.651827e-07
54889.500743	7.691656e-07	2.137370e-07
54890.500743	1.469042e-07	7.162539e-09
54891.500743	4.277731e-07	1.392054e-07
54892.500743	2.428970e-07	6.651650e-08
54893.500743	1.591403e-07	5.334300e-08
54894.500743	2.416767e-07	4.388565e-08
54895.500743	1.239110e-07	1.029075e-08
54896.500743	1.566568e-07	6.164435e-08
54897.500743	1.171663e-07	4.429118e-09
54898.500743	1.501388e-06	3.337936e-07
54899.500743	6.077072e-07	1.171777e-07
54900.500743	5.335398e-07	8.216330e-08
54905.500743	4.277071e-07	1.365288e-07
54906.500743	4.169269e-07	1.407307e-07
54907.500743	1.291373e-07	4.344873e-08
54908.500743	6.800670e-07	2.085223e-07
54909.500743	4.284310e-07	1.755953e-07
