Date	21.7/22.3 GHz		14.4 GHz		11.2 GHz		7.7/8.2 GHz		4.8 GHz		2.3 GHz		1.1 GHz	
15.04.2009	4.08	0.47	-	-	3.44	0.11	2.66	0.11	1.95	0.07	1.24	0.09	-	-
15.04.2011	7.82	0.87	-	-	6.85	0.24	5.64	0.11	4.5	0.09	-	-	-	-
15.07.2011	6.76	0.9	-	-	6.19	0.18	5.93	0.18	4.96	0.17	-	-	-	-
15.08.2011	4.38	0.44	-	-	5.21	0.16	5.44	0.22	4.85	0.15	-	-	-	-
15.09.2011	4.01	0.49	-	-	5.08	0.24	5.3	0.28	4.66	0.19	-	-	-	-
15.03.2012	5.54	1.1	-	-	5.53	0.25	5.21	1.16	4.56	0.49	-	-	-	-
15.10.2012	5.05	0.51	-	-	4.48	0.16	4.46	0.07	4.25	0.45	-	-	-	-
15.03.2013	4.34	0.65	-	-	4.76	0.62	4.65	0.61	3.42	0.34	-	-	-	-
15.12.2013	2.56	0.31	-	-	3.15	0.16	3.36	0.44	3.28	0.33	-	-	-	-
15.01.2014	2.51	0.25	-	-	2.68	0.16	2.88	0.17	2.85	0.06	-	-	-	-
15.03.2014	2.24	0.29	-	-	2.33	0.1	2.66	0.11	2.85	0.09	-	-	-	-
05.04.2014	2.46	0.28	-	-	2.46	0.12	2.66	0.13	2.67	0.11	-	-	-	-
05.08.2014	4.28	0.51	-	-	3.91	0.2	3.78	0.19	3.05	0.12	-	-	-	-
22.11.2014	4.68	0.63	-	-	4.92	0.42	5.06	0.35	3.52	0.19	-	-	-	-
01.12.2014	4.92	0.67	-	-	4.83	0.43	4.96	0.42	3.53	0.2	-	-	-	-
12.01.2015	-	-	-	-	5.3	0.2	-	-	3.67	0.1	-	-	-	-
25.02.2015	5.14	0.3	-	-	5.1	0.3	4.81	0.2	3.86	0.2	-	-	-	-
05.03.2015	5.33	0.3	-	-	5.1	0.3	4.81	0.2	3.86	0.2	-	-	-	-
10.03.2015	5.55	0.7	-	-	5.11	0.5	-	-	3.69	0.2	-	-	-	-
10.04.2015	4.99	0.4	-	-	5.11	0.3	-	-	3.7	0.1	-	-	-	-
16.04.2015	5.06	0.2	-	-	4.67	0.2	4.81	0.2	3.88	0.1	-	-	-	-
10.05.2015	4.19	0.4	-	-	4.45	0.4	-	-	4.17	0.2	-	-	-	-
09.06.2015	3.34	0.4	-	-	4.01	0.4	-	-	3.88	0.2	-	-	-	-
27.06.2015	2.06	0.3	-	-	3.12	0.29	3.49	0.26	3.82	0.25	-	-	-	-
16.07.2015	2.69	0.3	-	-	3.15	0.32	3.33	0.25	3.03	0.2	-	-	-	-
10.10.2015	2.81	0.2	-	-	2.93	0.2	-	-	3.2	0.1	-	-	-	-
25.10.2015	2.38	0.1	-	-	2.63	0.2	2.81	0.1	2.79	0.1	2.58	0.04	-	-
09.11.2015	2.86	0.4	-	-	-	-	-	-	2.62	0.2	-	-	-	-
27.11.2015	3.08	0.2	-	-	2.71	0.1	2.74	0.1	2.67	0.1	2.6	0.1	-	-
12.12.2015	3.96	0.3	-	-	3.02	0.1	-	-	2.87	0.1	-	-	-	-
19.12.2015	3.84	0.2	-	-	3.24	0.2	-	-	2.9	0.1	-	-	-	-
10.01.2016	3.43	0.2	-	-	3.07	0.2	-	-	2.91	0.2	-	-	-	-
17.01.2016	2.63	0.3	-	-	2.77	0.3	2.99	0.2	2.85	0.2	2.66	0.3	-	-
19.01.2016	3.14	0.2	-	-	2.8	0.1	2.98	0.2	2.84	0.1	2.7	0.1	-	-
06.02.2016	-	-	-	-	2.9	0.2	-	-	-	-	-	-	-	-
08.02.2016	2.86	0.2	-	-	-	-	-	-	2.73	0.1	-	-	-	-
09.02.2016	-	-	-	-	-	-	-	-	-	-	2.54	0.04	-	-
10.02.2016	-	-	-	-	-	-	2.97	0.1	-	-	-	-	-	-
19.02.2016	3.55	0.2	-	-	2.92	0.2	2.89	0.1	2.49	0.1	2.51	0.1	-	-
10.03.2016	4.37	0.3	-	-	3.5	0.2	-	-	2.74	0.1	-	-	-	-
10.05.2016	5.34	0.3	-	-	4.06	0.2	-	-	2.83	0.1	-	-	-	-
11.06.2016	5.17	0.7	-	-	4.4	0.3	-	-	2.99	0.1	-	-	-	-
08.09.2016	9.43	0.6	-	-	5.7	0.2	-	-	3.29	0.1	-	-	-	-
13.10.2016	7.02	0.4	-	-	5.31	0.2	-	-	3.19	0.2	-	-	-	-
